	0
children.1.children.113.children.1.children.1.node_attrs.Nextclade_pango.value	XBF.2
children.1.children.113.children.1.children.2.node_attrs.partiallyAliased.value	XBF.4
children.1.children.113.children.1.children.2.node_attrs.Nextclade_pango.value	XBF.4
children.1.children.113.children.1.children.3.node_attrs.partiallyAliased.value	XBF.3
children.1.children.113.children.1.children.3.node_attrs.Nextclade_pango.value	XBF.3
children.1.children.113.children.1.children.4.node_attrs.partiallyAliased.value	XBF.5
children.1.children.113.children.1.children.4.node_attrs.Nextclade_pango.value	XBF.5
children.1.children.113.children.1.children.5.node_attrs.partiallyAliased.value	XBF.6
children.1.children.113.children.1.children.5.node_attrs.Nextclade_pango.value	XBF.6
children.1.children.113.children.1.children.6.node_attrs.partiallyAliased.value	XBF.9
children.1.children.113.children.1.children.6.node_attrs.Nextclade_pango.value	XBF.9
children.1.children.113.children.1.children.7.node_attrs.partiallyAliased.value	XBF.1
children.1.children.113.children.1.children.7.node_attrs.Nextclade_pango.value	XBF.1
children.1.children.113.children.1.children.7.children.0.node_attrs.partiallyAliased.value	XBF.1.1
children.1.children.113.children.1.children.7.children.0.node_attrs.Nextclade_pango.value	XBF.1.1
children.1.children.113.children.1.children.7.children.1.node_attrs.partiallyAliased.value	XBF.1
children.1.children.113.children.1.children.7.children.1.node_attrs.Nextclade_pango.value	XBF.1
children.1.children.113.children.1.children.8.node_attrs.partiallyAliased.value	XBF.7
children.1.children.113.children.1.children.8.node_attrs.Nextclade_pango.value	XBF.7
children.1.children.113.children.1.children.8.children.0.node_attrs.partiallyAliased.value	XBF.7
children.1.children.113.children.1.children.8.children.0.node_attrs.Nextclade_pango.value	XBF.7
children.1.children.113.children.1.children.8.children.1.node_attrs.partiallyAliased.value	XBF.7.1
children.1.children.113.children.1.children.8.children.1.node_attrs.Nextclade_pango.value	XBF.7.1
children.1.children.113.children.1.children.9.node_attrs.partiallyAliased.value	XBF.8
children.1.children.113.children.1.children.9.node_attrs.Nextclade_pango.value	XBF.8
children.1.children.113.children.1.children.9.children.0.node_attrs.partiallyAliased.value	XBF.8
children.1.children.113.children.1.children.9.children.0.node_attrs.Nextclade_pango.value	XBF.8
children.1.children.113.children.1.children.9.children.1.node_attrs.partiallyAliased.value	XBF.8.1
children.1.children.113.children.1.children.9.children.1.node_attrs.Nextclade_pango.value	XBF.8.1
children.1.children.114.node_attrs.partiallyAliased.value	XAY
children.1.children.114.node_attrs.Nextclade_pango.value	XAY
children.1.children.114.children.0.node_attrs.partiallyAliased.value	XAY
children.1.children.114.children.0.node_attrs.Nextclade_pango.value	XAY
children.1.children.114.children.1.node_attrs.partiallyAliased.value	XAY
children.1.children.114.children.1.node_attrs.Nextclade_pango.value	XAY
children.1.children.114.children.1.children.0.node_attrs.partiallyAliased.value	XAY.3
children.1.children.114.children.1.children.0.node_attrs.Nextclade_pango.value	XAY.3
children.1.children.114.children.1.children.1.node_attrs.partiallyAliased.value	XAY.2
children.1.children.114.children.1.children.1.node_attrs.Nextclade_pango.value	XAY.2
children.1.children.114.children.1.children.1.children.0.node_attrs.partiallyAliased.value	XAY.2
children.1.children.114.children.1.children.1.children.0.node_attrs.Nextclade_pango.value	XAY.2
children.1.children.114.children.1.children.1.children.1.node_attrs.partiallyAliased.value	XAY.2
children.1.children.114.children.1.children.1.children.1.node_attrs.Nextclade_pango.value	XAY.2
